ID,Restaurant,City,Area,Cuisine,Rating,Cost,Veg,Delivery,Address,Phone,Timings,Menu,Description,Popular_Dishes,Popularity,Image
1,Olive Table,Chandigarh,Sector 7,North Indian,4.3,1950,Yes,Yes,"SCO 164, Sector 7, Chandigarh, Punjab",+91 9888750448,9 AM - 11 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,91,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
2,Copper Table,Mohali,Phase 5,Cafe,4.4,1600,Yes,Yes,"SCO 68, Phase 5, Mohali, Punjab",+91 9812966326,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,86,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
3,Saffron Table,Panchkula,Sector 11,Italian,4.3,400,No,Yes,"SCO 267, Sector 11, Panchkula, Punjab",+91 9884230530,8 AM - 10:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,71,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
4,Willow Table,Chandigarh,Sector 22,Chinese,4.4,1150,No,Yes,"SCO 58, Sector 22, Chandigarh, Punjab",+91 9872310747,12 PM - 12 AM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,78,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
5,Urban Table,Mohali,Sector 70,South Indian,4.1,750,Yes,Yes,"SCO 150, Sector 70, Mohali, Punjab",+91 9846823223,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,75,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
6,Cedar Table,Panchkula,MDC Sector 4,Punjabi,4.0,1950,Yes,Yes,"SCO 55, MDC Sector 4, Panchkula, Punjab",+91 9821104871,9 AM - 11 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,72,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
7,Mango Table,Chandigarh,Sector 43,Continental,4.3,800,Yes,Yes,"SCO 261, Sector 43, Chandigarh, Punjab",+91 9885234765,11 AM - 11:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,82,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
8,Mint Table,Mohali,Phase 3B2,Asian,3.9,950,No,Yes,"SCO 231, Phase 3B2, Mohali, Punjab",+91 9862710008,9 AM - 11 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,65,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
9,Blue Table,Panchkula,Sector 11,Bakery,4.3,1500,Yes,Yes,"SCO 262, Sector 11, Panchkula, Punjab",+91 9822448346,11 AM - 11:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,75,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
10,Curry Table,Chandigarh,Sector 17,Fast Food,4.8,2100,No,No,"SCO 223, Sector 17, Chandigarh, Punjab",+91 9844751612,8 AM - 10:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,65,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
